"Name","State","Notes","User","Tags","Created","Runtime","Sweep","embed_dim","generate_graph","hidden_channels","model","num_layers","heads","best_val_loss","graph_generation","train_loss","trained_epochs","val_loss"
"spring-sweep-445","finished","-","feik","","2023-09-02T10:26:20.000Z","1408","ca4ndneu","10","50","128","ResGnn","1","2","0.8073202518370783","max_dist","0.7742326359424923","143","0.8306463985575047"
"usual-sweep-444","finished","-","feik","","2023-09-02T10:24:29.000Z","666","ca4ndneu","10","50","64","ResGnn","3","2","0.8185648094052854","max_dist","0.7942568495312511","65","0.8872579684841774"
"fluent-sweep-443","finished","-","feik","","2023-09-02T10:22:52.000Z","1070","ca4ndneu","10","50","64","ResGnn","2","2","0.8278076490865865","max_dist","0.7401698572564087","151","0.8395426209265064"
"treasured-sweep-442","finished","-","feik","","2023-09-02T10:20:08.000Z","638","ca4ndneu","10","50","64","ResGnn","1","2","0.8051600899149778","max_dist","0.8000574322861707","105","0.8087290686109792"
"peach-sweep-441","finished","-","feik","","2023-09-02T10:18:23.000Z","1329","ca4ndneu","10","50","512","ResGnn","3","1","0.8336333157045568","max_dist","0.765549066444646","57","0.8494868850990718"
"twilight-sweep-440","finished","-","feik","","2023-09-02T10:15:21.000Z","1108","ca4ndneu","10","50","512","ResGnn","2","1","0.8194585367624939","max_dist","0.7624121579513731","58","0.8355903269273961"
"sweet-sweep-439","finished","-","feik","","2023-09-02T10:11:39.000Z","668","ca4ndneu","10","50","512","ResGnn","1","1","0.8198036666208577","max_dist","0.7852176409322629","63","1.013309853067511"
"drawn-sweep-438","finished","-","feik","","2023-09-02T10:08:28.000Z","952","ca4ndneu","10","50","256","ResGnn","3","1","0.8232437827134792","max_dist","0.7454205138737305","78","0.8621059630228125"
"resilient-sweep-437","finished","-","feik","","2023-09-02T10:08:01.000Z","1095","ca4ndneu","10","50","256","ResGnn","2","1","0.8168124465603132","max_dist","0.7503808550987826","97","0.8296531032196618"
"floral-sweep-436","finished","-","feik","","2023-09-02T10:06:48.000Z","686","ca4ndneu","10","50","256","ResGnn","1","1","0.8084608486047375","max_dist","0.795401349891293","91","0.815589999210222"
"elated-sweep-435","finished","-","feik","","2023-09-02T10:01:44.000Z","808","ca4ndneu","10","50","128","ResGnn","3","1","0.8249006132363331","max_dist","0.7667217067569855","84","0.8347440530188941"
"rosy-sweep-434","finished","-","feik","","2023-09-02T09:58:14.000Z","510","ca4ndneu","10","50","128","ResGnn","2","1","0.8258772514554352","max_dist","0.7935704512304855","66","0.8398926778273149"
"comic-sweep-433","finished","-","feik","","2023-09-02T09:55:25.000Z","749","ca4ndneu","10","50","128","ResGnn","1","1","0.821999170280728","max_dist","0.7811781855367748","166","0.8318102634942579"
"magic-sweep-432","finished","-","feik","","2023-09-02T09:52:17.000Z","1665","ca4ndneu","10","50","64","ResGnn","3","1","0.8213826600741964","max_dist","0.7884848593347257","121","0.8350972385274563"
"peachy-sweep-431","finished","-","feik","","2023-09-02T09:48:12.000Z","596","ca4ndneu","10","50","64","ResGnn","2","1","0.8181114491266696","max_dist","0.7945462135718708","84","0.8327311583187269"
"floral-sweep-429","finished","-","feik","","2023-09-02T09:46:39.000Z","1491","ca4ndneu","10","30","512","ResGnn","3","2","0.8248052512232965","max_dist","0.732787106556915","65","0.8411471234951094"
"balmy-sweep-430","finished","-","feik","","2023-09-02T09:46:39.000Z","897","ca4ndneu","10","50","64","ResGnn","1","1","0.8123367426423688","max_dist","0.7943547128877745","190","0.8365768141426116"
"stellar-sweep-428","finished","-","feik","","2023-09-02T09:45:15.000Z","1389","ca4ndneu","10","30","512","ResGnn","2","2","0.8173776737786094","max_dist","0.7403456691128759","76","0.8677660586805683"
"graceful-sweep-427","finished","-","feik","","2023-09-02T09:40:51.000Z","870","ca4ndneu","10","30","512","ResGnn","1","2","0.8145106362731089","max_dist","0.7692055311122651","131","0.8350373151274066"
"usual-sweep-426","finished","-","feik","","2023-09-02T09:38:18.000Z","830","ca4ndneu","10","30","256","ResGnn","3","2","0.8181287509650581","max_dist","0.7823299185234098","52","0.8273035416018821"
"brisk-sweep-425","finished","-","feik","","2023-09-02T09:37:19.000Z","646","ca4ndneu","10","30","256","ResGnn","2","2","0.8378296412969295","max_dist","0.7367793889721171","65","0.8569792963534947"
"good-sweep-424","finished","-","feik","","2023-09-02T09:35:51.000Z","642","ca4ndneu","10","30","256","ResGnn","1","2","0.8154925622958911","max_dist","0.7816471727099025","96","0.8234815016094403"
"playful-sweep-423","finished","-","feik","","2023-09-02T09:33:58.000Z","756","ca4ndneu","10","30","128","ResGnn","3","2","0.817315892833966","max_dist","0.7630596780161785","73","0.8299654154909458"
"eternal-sweep-422","finished","-","feik","","2023-09-02T09:32:50.000Z","738","ca4ndneu","10","30","128","ResGnn","2","2","0.8346619216349757","max_dist","0.7428687049753733","95","0.8585146522804682"
"peach-sweep-421","finished","-","feik","","2023-09-02T09:30:12.000Z","418","ca4ndneu","10","30","128","ResGnn","1","2","0.8184903684340918","max_dist","0.7954545159789372","79","0.8287499109746911"
"valiant-sweep-420","finished","-","feik","","2023-09-02T09:30:08.000Z","638","ca4ndneu","10","30","64","ResGnn","3","2","0.8195033774545541","max_dist","0.8010202457931181","74","0.8364740692108517"
"swept-sweep-419","finished","-","feik","","2023-09-02T09:24:53.000Z","654","ca4ndneu","10","30","64","ResGnn","2","2","0.822104309575831","max_dist","0.7699260617821639","99","0.8469115711483559"
"neat-sweep-418","finished","-","feik","","2023-09-02T09:23:29.000Z","883","ca4ndneu","10","30","64","ResGnn","1","2","0.8179555266742179","max_dist","0.7997923130233267","137","0.8543306028890044"
"valiant-sweep-417","finished","-","feik","","2023-09-02T09:21:13.000Z","758","ca4ndneu","10","30","512","ResGnn","3","1","0.8151145478953485","max_dist","0.7561955061506258","62","0.8422447110353252"
