bins,Average_SD_best_GraphSage_small,Average_SD_best_ResGnn_small,Average_SD_best_GlobalInfo_small,Average_SD_best_GraphSage_large,Average_SD_best_ResGnn_large,Average_SD_best_GlobalInfo_large,Average_SD_ensemble
2.5,1.217816948890686,1.2871451377868652,1.29828941822052,1.2764700651168823,1.2979438304901123,1.3098095655441284,0.7191961263833775
3.0,1.2211964130401611,1.28509783744812,1.2998899221420288,1.2748404741287231,1.2946752309799194,1.3075658082962036,0.7288966046632056
3.5,1.2260822057724,1.288724422454834,1.303025722503662,1.2746790647506714,1.2971549034118652,1.3096439838409424,0.7342691147402042
4.0,1.2382732629776,1.2933987379074097,1.3049396276474,1.2892152070999146,1.3085600137710571,1.3174313306808472,0.7626491235872859
4.5,1.239131212234497,1.2912579774856567,1.3009554147720337,1.2860486507415771,1.3067072629928589,1.3103978633880615,0.7311156439733449
5.0,1.2455604076385498,1.293267846107483,1.3013837337493896,1.2837681770324707,1.304859280586243,1.3063790798187256,0.7252146885068171
5.5,1.2603906393051147,1.3043513298034668,1.3205136060714722,1.2891212701797483,1.3139361143112185,1.3148071765899658,0.7032498601491094
6.0,1.281798243522644,1.3200304508209229,1.3452908992767334,1.297945499420166,1.3230024576187134,1.3290066719055176,0.6890350213513354
6.5,1.2923946380615234,1.324069619178772,1.3492597341537476,1.3044227361679075,1.3294875621795654,1.3326257467269895,0.6834285482750865
7.0,1.2936922311782837,1.3259751796722412,1.3487882614135742,1.3068952560424805,1.3370267152786257,1.3400607109069824,0.6692953663197725
7.5,1.312394618988037,1.349715232849121,1.3580503463745115,1.3218846321105957,1.354804754257202,1.3516812324523926,0.6448480319010746
8.0,1.3304221630096436,1.37246572971344,1.3674981594085691,1.336374282836914,1.370064377784729,1.3665281534194946,0.649580453015428
8.5,1.3343631029129028,1.389026403427124,1.3731815814971924,1.3385127782821655,1.3785747289657593,1.3747568130493164,0.620715838518915
9.0,1.320223331451416,1.3777495622634888,1.3698391914367676,1.330041766166687,1.3659895658493042,1.368144989013672,0.59689671637746
9.5,1.3174095153808594,1.380159616470337,1.3606534004211426,1.323471188545227,1.3640668392181396,1.3661669492721558,0.5955473131553614
10.0,1.3111552000045776,1.378756403923035,1.3505918979644775,1.309442400932312,1.3553847074508667,1.3582409620285034,0.5765153018168041
10.5,1.311148762702942,1.37946879863739,1.3502163887023926,1.306422233581543,1.3517467975616455,1.3554365634918213,0.5865307389041058
11.0,1.316666603088379,1.394960880279541,1.351401686668396,1.2913594245910645,1.3457196950912476,1.352157711982727,0.5579961283457678
11.5,1.3155138492584229,1.3981692790985107,1.3464542627334597,1.2809534072875977,1.3405020236968994,1.3467689752578735,0.5328849320621545
12.0,1.330313205718994,1.4169286489486694,1.3546607494354248,1.2790473699569702,1.3441338539123535,1.350663185119629,0.5364264778313156
12.5,1.3217558860778809,1.4105474948883057,1.346254825592041,1.2680013179779053,1.3328559398651123,1.343685269355774,0.5166757828335518
13.0,1.3148541450500488,1.4116817712783811,1.340563178062439,1.2527141571044922,1.3185606002807615,1.333061695098877,0.5104248545971842
13.5,1.323095679283142,1.414151310920715,1.3419756889343262,1.2535721063613892,1.320799708366394,1.338329553604126,0.5054205507221146
14.0,1.3261016607284546,1.4229212999343872,1.340190291404724,1.2544599771499634,1.323279619216919,1.344485640525818,0.5093567143411635
14.5,1.3264106512069702,1.4248405694961548,1.3437352180480957,1.24406898021698,1.3149675130844116,1.340629816055298,0.4859376887999572
15.0,1.3247692584991455,1.419719099998474,1.338403344154358,1.241199970245361,1.3142987489700315,1.3394012451171875,0.4847444733187697
15.5,1.3410145044326782,1.4373421669006348,1.349517822265625,1.2475425004959106,1.3254990577697754,1.354124665260315,0.48188025736160095
16.0,1.3379781246185305,1.433151364326477,1.3458727598190308,1.2422243356704712,1.3208739757537842,1.3486675024032593,0.47703738662047473
16.5,1.347700834274292,1.4423930644989014,1.353684902191162,1.2479443550109863,1.3288209438323977,1.3567661046981812,0.45679353035168924
17.0,1.3487520217895508,1.4407243728637695,1.3576271533966064,1.2493319511413574,1.3272136449813845,1.3638355731964111,0.4575434116479877
17.5,1.356428861618042,1.4480366706848145,1.3561699390411377,1.2512167692184448,1.334686279296875,1.3687392473220823,0.4563014247948973
18.0,1.3820271492004397,1.4760798215866089,1.3834420442581177,1.2783809900283811,1.364619255065918,1.397507905960083,0.46169258322165324
18.5,1.4021543264389038,1.5006271600723269,1.399816393852234,1.3004415035247805,1.3893537521362305,1.4265921115875244,0.45244325318664635
19.0,1.431343913078308,1.533519983291626,1.4131697416305542,1.321797490119934,1.413045048713684,1.4482684135437012,0.4850159024377222
19.5,1.473699927330017,1.5783441066741943,1.4570404291152954,1.36287522315979,1.450831651687622,1.504170536994934,0.5017917316382818
20.0,1.503284215927124,1.6059774160385132,1.472694993019104,1.3888884782791138,1.4779421091079712,1.5374871492385864,0.49822563143835863
20.5,1.5272208452224731,1.6439225673675537,1.4992012977600098,1.4096026420593262,1.498854398727417,1.574643850326538,0.4507857864831284
21.0,1.5805344581604004,1.6759908199310305,1.550911784172058,1.456040859222412,1.5537054538726809,1.6257662773132324,0.4683784039302954
21.5,1.5806421041488647,1.675769925117493,1.531040906906128,1.4582490921020508,1.5627964735031128,1.630371332168579,0.4920271858692375
